Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
59.18,2508.3,146.3,7411.4,2.32,0.07,0.14,0.17,0.08,6806,10040.4,604.1,1566.77,2281.67,1064.22,0.01,0.02,0.01,705.5,714.9,8144.7,639.1,0.08,0.57,0.19,0.16,0.36
10.76,1.2,4.3,70,2.79,0,0.16,0.25,0.03,10,24.1,2.1,4.1,4.7,2.52,0.13,0.06,0.18,0.4,0.6,72.1,1.7,0,0.13,0.04,0.04,0.08
32.89,808.5,32.6,2411.4,2.1,0.32,0.11,0.13,0.04,1590.1,2291.9,92,314.93,426.53,136.18,0.01,0.01,0.01,168,111.6,2558.1,92,0.23,0.55,0.31,0.24,0.5
0.99,0,6,20.6,0.44,0.11,-1.25,-1.06,-1.27,14.9,29,-26.2,-15.79,-12.89,-14.11,0.48,0.27,0.21,0.5,2.9,22.1,-19.6,0,0.13,0,0,0
3.41,62.3,3.9,174.9,0.86,3.17,-0.07,0.1,-0.02,108.9,137.5,-3.6,25.94,45.44,-22.5,0.04,0.02,0.03,51.2,19.5,196.3,1.9,0,0.78,1.78,0.64,0.55
5.69,0,66.3,94.6,23.35,0.04,-0.14,-1.6,-0.11,6.9,115.2,-10,-11.07,-8.57,-10.63,0.29,0.6,0.58,2.2,2.5,110.5,-8.4,0.02,0.03,0,0,0
15.98,313.9,334.5,1041.4,4.34,-0.01,0.04,0.27,0.01,313.4,905.7,12.3,137.15,153.15,84.68,0.2,0.25,0.37,46.3,16,1320,4.3,0.03,0.35,0.23,0.19,0.48
2.3,0,0.6,,16.87,,-1,,,3.1,4.6,-2.3,,,,0.01,3,0.13,0,0.1,0.2,-3.2,0.02,0.02,0,0,0
7.94,1109.7,377.1,5217.3,1.73,-0.06,0.74,0.49,0.03,930,5452.7,146.2,457.56,663.76,483.77,0.19,0.07,0.07,98.8,206.2,5648.2,146.2,0.02,0.43,1.27,0.56,0.85
19.93,256.8,70.6,210,50.1,-0.13,,1.04,0.18,60.3,182.7,38.8,67.77,86.57,71.13,0.02,0.27,0.39,12.3,18.8,258,316.6,0.03,0.14,0.09,0.08,
2,0.3,0,,,,,,,-0.1,0,-0.1,,,,0,,,0,0,0,-3.1,,,0.01,0.01,
4.57,10.4,4.1,50.7,1.33,-1.16,-0.06,0.04,-0.06,92.5,66.9,-3,3.71,7.81,8.01,0.03,0.09,0.06,0.7,4.1,46.4,-6.8,0.17,0.48,0.09,0.08,0.18
0.65,17,24.5,2.4,0.55,-0.08,-0.89,-1.11,-11.54,23.5,52.9,-27.7,-26.11,-25.31,-28.29,0.66,9.8,0.46,2.5,0.8,2.5,-34.7,0,0.07,0.83,0.45,0.35
64.76,393.7,155,,1.78,,0.1,,,768.2,5315.9,54.6,,,,0.1,,0.03,0,0,0,64.2,0.03,0,0.35,0.26,0.43
17.22,0,25.9,69.1,6.63,0.03,0.16,0.39,0.13,27.5,70.9,8.8,11.9,14,10.45,0.12,0.33,0.37,1.2,2.1,78.8,11.1,0.14,0.03,0,0,0
20.51,21.4,2.6,342.2,1.28,0.48,0.08,0.11,0.04,179.6,231.7,13.4,28.98,35.28,9.77,0.01,0.01,0.01,6.1,6.3,370.2,13.3,0.1,0.19,0.1,0.09,0.12
33,0,12.8,,2.05,,0.02,,,15.3,157,0.7,,,,0.29,,0.08,0,0,0,0.7,0,0.05,0,0,0
